observation_date,observation_count,one_week_ago,delta_one_week_ago,two_week_ago,delta_two_week_ago,three_week_ago,delta_three_week_ago,four_week_ago,delta_four_week_ago,five_week_ago,delta_five_week_ago,one_year_ago,one_year_ago_delta,one_year_one_week_ago,one_year_one_week_ago_delta,one_year_two_week_ago,one_year_two_week_ago_delta,one_year_three_week_ago,one_year_three_week_ago_delta,week_num,year_num,status,month
2013-06-16,0.0,0.0,-1.0,1.0,-81.0,82.0,-131.0,213.0,99.0,114.0,-158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2013.0,past,2013-06
2013-06-23,0.0,0.0,0.0,0.0,-1.0,1.0,-81.0,82.0,-131.0,213.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2013.0,past,2013-06
2013-06-30,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-81.0,82.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2013.0,past,2013-06
2013-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2013.0,past,2013-07
2013-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2013.0,past,2013-07
2013-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2013.0,past,2013-07
2013-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2013.0,past,2013-07
2013-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2013.0,past,2013-08
2013-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2013.0,past,2013-08
2013-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2013.0,past,2013-08
2013-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2013.0,past,2013-08
